SPCD,COMMON_NAME,MAJOR_SPGRPCD,MAJOR_NAME,E_SPGRPCD,EAST_NAME,W_SPGRPCD,WEST_NAME,C_SPGRPCD,CARIBBEAN_NAME,P_SPGRPCD,PACIFIC_NAME,JENKINS_SPGRPCD,JENKINS_NAME,STOCKING_SPGRPCD,STOCKING_NAME
6308,maricao cimun,3,Soft hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,,,8,Mixed hardwood,37.0,Average hardwood
6311,Long Key locustberry,3,Soft hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,,,8,Mixed hardwood,37.0,Average hardwood
6313,doncella,3,Soft hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,,,8,Mixed hardwood,37.0,Average hardwood
6315,almendrillo,3,Soft hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,,,8,Mixed hardwood,37.0,Average hardwood
6316,nicker,3,Soft hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,,,8,Mixed hardwood,37.0,Average hardwood
6317,divi divi,3,Soft hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,,,8,Mixed hardwood,37.0,Average hardwood
6318,uhiuhi,3,Soft hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,,,54.0,Tropical and subtropical hardwoods,8,Mixed hardwood,37.0,Average hardwood
6319,pride-of-Barbados,3,Soft hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,,,8,Mixed hardwood,37.0,Average hardwood
6320,sappanwood,3,Soft hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,8,Mixed hardwood,37.0,Average hardwood
6325,Surinamese stickpea,3,Soft hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,,,8,Mixed hardwood,37.0,Average hardwood
